"Year","Crop","Location","Mean_Yield"
"2014","SOYBEANS","Central Farm_1-14A",76.9859584634235
"2014","SOYBEANS","Central Farm_1-14B",72.1470638409905
"2014","SOYBEANS","Central Farm_1-14C",63.9326498243544
"2014","SOYBEANS","Central Farm_1-20A",70.6184694495186
"2014","SOYBEANS","Central Farm_1-20B",77.7454327585179
"2014","SOYBEANS","Central Farm_1-20C",62.8387549817562
"2014","SOYBEANS","Central Farm_2-32A",68.9594590164661
"2014","SOYBEANS","Central Farm_2-51",61.9281843100991
"2014","SOYBEANS","Central Farm_2-71",70.5855034802841
"2014","SOYBEANS","Central Farm_2-72",59.8094390122938
"2014","SOYBEANS","Central Farm_4-16",49.8950181708114
"2014","SOYBEANS","Central Farm_4-23A",54.3122191259762
"2014","SOYBEANS","Central Farm_4-25",71.6203302260766
"2014","CORN","CentralFarm_1_7",117.582912169742
"2014","CORN","CentralFarm_2_32B",128.78173492155
"2014","CORN","CentralFarm_4_7",80.6354774180062
"2014","CORN","East Farm_5-12",158.302683779074
"2014","CORN","East Farm_5-21",149.435875581769
"2014","SOYBEANS","East Farm_5-23",62.4247208827999
"2014","CORN","East Farm_5-3A",129.608855051484
"2014","CORN","East Farm_5-3D",130.793414332072
"2014","SOYBEANS","East Farm_5-45A",50.8374540830813
"2014","SOYBEANS","East Farm_5-45D",35.5650481734577
"2014","CORN","East Farm_5_3B",133.210985438137
"2014","CORN","East Farm_5_3C",133.530448795264
"2014","CORN","East Farm_6_64",126.605188364412
"2014","SOYBEANS","Linkage Farm_EB-3",50.9199270644306
"2015","SOYBEANS","APU_1-98",18.6023403775817
"2015","WHEAT","APU_1",27.8654368583236
"2015","CORN","APU_7",125.869162901939
"2015","SOYBEANS","Central Farm_1-13",50.213517263426
"2015","CORN","Central Farm_1-14A",173.066820435346
"2015","CORN","Central Farm_1-14B",86.8183270838621
"2015","SOYBEANS","Central Farm_1-14B",44.1675668160631
"2015","SOYBEANS","Central Farm_1-14C",45.6071753649178
"2015","SOYBEANS","Central Farm_1-20A",33.0241052459816
"2015","SOYBEANS","Central Farm_1-20B",46.8744872367545
"2015","SOYBEANS","Central Farm_1-20C",50.7054793909976
"2015","SOYBEANS","Central Farm_1-21",48.2695572275055
"2015","CORN","Central Farm_1-30",147.527657024275
"2015","CORN","Central Farm_1-32",125.305451356096
"2015","SOYBEANS","Central Farm_1-33",39.583780890856
"2015","SOYBEANS","Central Farm_1-34",40.7943848817877
"2015","SOYBEANS","Central Farm_1-37",59.8775458339073
"2015","CORN","Central Farm_1-7",84.0201261035241
"2015","SOYBEANS","Central Farm_1-7",42.1184926384248
"2015","CORN","Central Farm_1-9",62.1883654312739
"2015","SOYBEANS","Central Farm_1-9",21.9739163226783
"2015","WHEAT","Central Farm_1-9",46.0018075481442
"2015","SOYBEANS","Central Farm_2-13",27.7182211988418
"2015","WHEAT","Central Farm_2-13",46.1273567635757
"2015","CORN","Central Farm_2-37B",119.465339917239
"2015","SOYBEANS","Central Farm_2-66",41.9922971092165
"2015","SOYBEANS","Central Farm_2-67",37.5827308089948
"2015","CORN","Central Farm_2-68A",107.134048416433
"2015","CORN","Central Farm_2-68B",104.044350680335
"2015","CORN","Central Farm_2-71",103.595128303869
"2015","SOYBEANS","Central Farm_2-71",43.3766251602147
"2015","SOYBEANS","Central Farm_2-72",33.764950077523
"2015","SOYBEANS","Central Farm_4-16",40.9193662723904
"2015","CORN","Central Farm_4-23A",115.172937290865
"2015","SOYBEANS","Central Farm_4-25",48.2994066366767
"2015","SOYBEANS","Central Farm_4-7",21.3290104559605
"2015","SOYBEANS","Central Farm_4-8",54.9009995396811
"2015","SOYBEANS","East Farm_5-1112",47.9221940623253
"2015","WHEAT","East Farm_5-23",40.725830659967
